year,length,budget,rating,votes,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1903,1,,6.3,27, ,0,0,1,0,0,0,1
1903,1,,2.6,6, ,0,0,0,0,0,0,1
1903,1,,2.8,5, ,0,0,0,0,0,0,1
1903,3,,6.2,63, ,0,0,0,1,0,0,1
1903,1,,4.3,79, ,0,0,0,0,1,0,1
1903,1,,4.5,8, ,0,0,0,0,0,0,1
1903,1,,6.6,28, ,0,0,1,0,0,0,1
1903,1,,4.7,13, ,0,0,1,0,0,0,1
1903,1,,6.4,91, ,0,0,1,0,0,0,1
1903,3,,7,26, ,0,0,0,0,1,0,1
1903,12,0,7.4,849, ,1,0,0,0,0,0,1
1903,1,,3.9,7, ,0,0,0,0,0,0,1
1903,3,,3.9,9, ,0,0,1,0,0,0,1
1903,6,,6.5,72, ,1,0,0,0,0,0,1
1903,4,,6.9,48, ,0,0,1,0,0,0,1
1903,2,,6.4,34, ,0,0,0,0,0,0,1
1903,1,,5,22, ,0,0,0,0,0,0,1
1903,2,,4.4,17, ,0,0,0,0,1,0,1
1903,2,,3.9,8, ,1,0,0,0,0,0,1
1903,2,,3.7,6, ,0,0,0,0,1,0,1
1903,1,,2.8,6, ,0,0,0,0,0,0,1
1903,2,,4.7,5, ,0,0,0,0,0,0,1
1903,1,,3.6,5, ,0,0,0,0,1,0,1
1903,3,,4.6,12, ,0,0,0,0,0,1,1
1903,3,,3.8,7, ,0,0,0,1,0,0,1
1903,2,,3.4,7, ,0,0,0,0,0,0,1
1903,1,,6.4,34, ,0,0,0,0,0,0,1
1903,3,,6.2,57, ,0,0,0,0,1,0,1
1903,1,,4.3,69, ,0,0,0,0,0,0,1
1903,1,,3.5,5, ,0,0,0,0,0,0,1
1903,1,,3.9,5, ,0,0,1,0,0,0,1
1903,3,,3.2,5, ,0,0,0,0,1,0,1
1904,3,,6.5,66, ,0,0,1,0,0,0,1
1904,3,,3.8,18, ,0,0,0,0,0,0,1
1904,3,,3.5,19, ,0,0,0,0,0,0,1
1904,3,,3.6,7, ,0,0,0,0,0,0,1
1904,3,,3.4,6, ,0,0,0,0,0,0,1
1904,6,,5.6,9, ,0,0,0,0,0,0,1
1904,4,,6,33, ,0,0,0,1,0,0,1
1904,2,,4.4,8, ,0,0,0,0,1,0,1
1904,11,,3.8,5, ,0,0,0,1,0,0,1
1904,3,,6.7,76, ,0,0,1,0,0,0,1
1904,6,,3.4,13, ,0,0,0,0,0,0,1
1904,2,,3.6,13, ,0,0,0,0,0,0,1
1904,2,,2.6,5, ,0,0,0,0,0,0,1
1904,4,,5.7,33, ,0,0,1,0,0,0,1
1904,1,,3.3,6, ,0,0,0,0,1,0,1
1904,2,,4.1,8, ,0,0,0,0,0,0,1
1904,17,,5.2,10, ,0,0,1,0,0,0,1
1904,3,,3.3,9, ,0,0,0,0,0,0,1
1904,2,,2.8,7, ,0,0,0,0,0,0,1
1904,1,,3.9,5, ,0,0,0,0,1,0,1
1904,15,,3.8,5, ,0,0,0,1,0,0,1
1904,4,,7.5,35, ,0,0,1,0,0,0,1
1904,10,,3.9,37, ,0,0,1,0,0,0,1
1904,6,,3.8,6, ,0,0,0,0,0,0,1
1904,3,,4.5,9, ,0,0,0,0,0,0,1
1904,3,,3.9,7, ,0,0,0,0,0,0,1
1904,2,,3.8,5, ,0,0,0,0,0,0,1
1904,5,,3.1,6, ,0,0,1,0,0,0,1
1904,1,,4,7, ,0,0,0,0,0,0,1
1904,1,,3.9,6, ,0,0,0,0,0,0,1
1904,3,,6.6,82, ,0,0,0,0,0,0,1
1904,2,,3.6,5, ,0,0,0,0,1,0,1
1904,4,,6.5,57, ,0,0,1,0,0,0,1
1904,4,,3.1,5, ,0,0,0,0,0,0,1
1904,3,,4.5,7, ,0,0,1,0,0,0,1
1904,8,,5.3,20, ,0,0,1,0,0,0,1
1904,4,,2.7,5, ,0,0,0,0,0,0,1
1904,3,,6,77, ,0,0,0,0,0,0,1
1904,6,,3.5,6, ,0,0,0,0,0,0,1
1904,3,,2.8,6, ,0,0,0,0,0,0,1
1904,3,,2.7,5, ,0,0,0,0,0,0,1
1904,4,,2.7,5, ,0,0,0,0,0,0,1
1905,1,,5.2,13, ,0,0,1,0,0,0,1
1905,8,,4.8,7, ,0,0,0,1,0,0,1
1905,4,,6.9,62, ,0,0,1,0,0,0,1
1905,10,,4.9,11, ,0,0,0,1,0,0,1
1905,7,,5,7, ,0,0,1,0,0,0,1
1905,8,,5.2,17, ,0,0,0,1,0,0,1
1905,12,,5.2,12, ,0,0,1,0,0,0,1
1905,5,,5.2,31, ,0,0,0,0,1,0,1
1905,2,,3.9,25, ,0,0,1,0,0,0,1
1905,14,,6.9,13, ,0,0,0,0,0,0,1
1905,7,,6.8,90, ,0,0,0,1,0,0,1
1905,1,,4,8, ,0,0,0,0,0,0,1
1905,3,,3.2,8, ,0,0,0,0,0,0,1
1905,8,,3.1,9, ,0,0,1,0,0,0,1
1905,13,,3.9,8, ,0,0,0,0,1,0,1
1905,3,,6.4,58, ,0,0,0,0,0,0,1
1905,4,,5.2,7, ,0,0,0,0,0,0,1
1906,10,,7,44, ,0,0,1,0,0,0,1
1906,12,,7.7,30, ,0,0,0,0,0,0,1
1906,3,,5.7,43, ,0,0,0,0,0,0,1
1906,2,,4,10, ,0,0,0,0,1,0,1
1906,7,,3.7,5, ,0,0,0,1,0,0,1
1906,7,,6.9,60, ,0,0,0,0,0,0,1
1906,3,,5.7,51, ,0,1,0,0,0,0,1
1906,16,,6,13, ,0,0,0,0,0,0,1
1906,1,,7.2,66, ,0,0,0,0,1,0,1
1906,5,,4.6,5, ,0,0,0,1,0,0,1
1906,8,,4.8,5, ,0,0,0,1,0,0,1
1906,70,2250,6,13, ,0,0,0,0,0,0,0
1906,1,,7.1,44, ,0,0,0,0,1,0,1
1906,9,,3.8,5, ,0,0,0,1,0,0,0
1906,20,,4.8,5, ,0,0,0,1,0,0,1
1906,12,,6.5,25, ,0,0,0,0,1,0,1
1906,7,,5,31, ,0,0,1,0,0,0,1
1907,15,,5.8,23, ,0,1,0,0,0,0,1
1907,8,,6.1,24, ,0,0,0,1,0,0,1
1907,15,,5.5,74, ,0,0,0,0,0,0,1
1907,5,,5.6,45, ,0,0,0,0,0,0,1
1907,6,,4.2,8, ,0,0,1,0,0,0,1
1907,6,,6.5,91, ,0,0,1,0,0,0,1
1907,1,,3.1,9, ,0,0,0,0,0,0,1
1907,3,,4.6,6, ,0,0,1,0,0,0,1
1907,7,,4.4,5, ,0,0,1,0,0,0,1
1907,9,,6.9,21, ,0,0,0,0,0,0,1
1907,6,,6.7,34, ,0,0,1,0,0,0,1
1907,7,,5.2,5, ,0,0,1,0,0,0,1
1908,12,0,5.1,34, ,1,0,0,0,0,0,1
1908,15,,5.2,14, ,0,0,0,0,0,0,1
1908,7,,4.9,7, ,0,0,1,0,0,0,1
1908,12,,4.3,9, ,0,0,0,1,0,0,1
1908,12,,4.2,9, ,0,0,1,0,0,0,1
1908,9,,3.8,5, ,0,0,0,1,0,0,1
1908,9,,4.1,6, ,0,0,0,0,0,0,1
1908,5,,3.6,5, ,0,0,1,1,0,0,1
1908,12,,4.6,9, ,0,0,1,0,0,0,1
1908,16,,3.3,5, ,1,0,0,0,0,0,1
1908,10,,4.2,6, ,0,0,0,1,0,0,1
1908,2,,5.9,17, ,0,1,0,0,0,0,1
1908,10,,4.4,5, ,0,0,1,0,0,0,1
1908,6,,4.7,6, ,0,0,0,1,0,0,1
1908,3,,5.8,24, ,0,0,0,0,0,0,1
1908,7,,7.2,34, ,0,0,0,0,1,0,1
1908,6,,6.9,21, ,0,0,0,1,0,0,1
1908,6,,4.7,27, ,1,0,0,0,0,0,1
1908,11,,4.8,15, ,0,0,1,0,0,0,1
1908,17,,5.1,5, ,0,0,1,0,0,0,1
1908,12,,6.2,8, ,0,0,0,1,0,0,1
1908,5,,6.9,34, ,0,0,1,0,0,0,1
1908,4,,3.4,6, ,0,0,0,0,0,0,1
1908,9,,4.6,6, ,0,0,0,1,0,0,1
1909,11,,5,9, ,0,0,0,1,0,0,1
1909,8,,3.7,5, ,0,0,0,0,0,0,1
1909,11,,4.6,5, ,0,0,0,1,0,0,1
1909,11,,4.4,5, ,0,0,0,0,0,0,1
1909,9,,4.9,7, ,0,0,0,1,0,0,1
1909,14,,7,115, ,0,0,0,1,0,0,1
1909,10,,6.9,32, ,0,0,0,1,0,0,1
1909,10,,3.9,5, ,0,0,0,0,0,0,1
1909,13,,5.3,9, ,0,0,1,0,0,0,1
1909,13,,5.3,12, ,0,0,0,1,0,0,1
1909,11,,5.4,9, ,0,0,0,1,0,0,1
1909,15,,4.9,8, ,0,0,0,1,0,0,1
1909,5,,6.1,8, ,0,0,0,1,0,0,1
1909,6,,4.9,7, ,0,0,1,0,0,0,1
1909,10,,5.2,10, ,0,0,0,1,0,0,1
1909,8,,6,51, ,0,0,0,1,0,0,1
1909,10,,5.5,6, ,0,0,0,0,0,0,1
1909,12,,6,23, ,0,0,0,1,0,1,1
1909,4,,2.9,15, ,0,0,1,0,0,0,1
1909,5,,3.1,5, ,0,0,1,0,0,0,1
1909,14,,5.1,67, ,0,0,0,1,0,0,1
1909,11,,4.6,6, ,0,0,0,0,0,0,1
1909,5,,7.2,60, ,0,0,1,0,0,0,1
1909,11,,4.7,29, ,0,0,0,0,0,0,1
1909,11,,5.3,46, ,0,0,0,0,0,0,1
1909,5,,5.4,8, ,0,0,0,0,0,0,0
1909,1,,3.6,7, ,0,1,1,0,0,0,1
1909,2,,6.8,76, ,0,0,1,0,0,0,1
1909,10,,4.9,7, ,0,0,0,0,0,0,1
1909,12,,5.2,5, ,0,0,0,1,0,0,1
1910,4,,5.6,58, ,0,0,0,0,1,0,1
1910,38,,6,37, ,0,0,0,0,0,0,1
1910,16,,3.7,5, ,0,0,0,1,0,0,1
1910,16,,4.7,5, ,0,0,0,1,0,0,1
1910,17,,3.9,6, ,0,0,0,1,0,0,1
1910,16,,4.6,6, ,0,0,0,1,0,0,1
1910,17,,4.7,46, ,0,0,0,1,0,0,1
1910,9,,6.4,21, ,0,0,0,0,1,0,1
1910,17,,4.4,5, ,0,0,0,1,0,0,1
1910,17,,6.1,9, ,0,0,0,1,0,0,1
1910,17,,4.5,5, ,0,0,0,0,0,1,1
1910,16,,5.8,70, ,0,0,0,0,0,0,1
1910,17,,4.5,19, ,0,0,0,1,0,0,1
1910,17,,6.2,41, ,0,0,0,1,0,0,1
1910,10,,6.7,12, ,0,0,0,1,0,0,1
1910,15,,5,9, ,0,0,0,1,0,0,1
1910,11,,4.9,5, ,0,0,0,0,0,0,1
1910,9,,4.7,19, ,0,0,0,0,0,0,1
1910,17,,4.3,9, ,0,0,0,0,0,0,1
1910,12,,5.6,16, ,0,0,1,0,0,0,1
1910,14,,6.3,44, ,0,0,0,1,0,0,1
1910,17,,5.4,13, ,0,0,0,1,0,0,1
1910,16,,5.3,32, ,0,0,0,0,0,1,1
1910,11,,6,19, ,0,0,0,1,0,0,1
1910,17,,4.4,16, ,0,0,1,0,0,1,1
1910,10,,5.8,38, ,0,0,0,0,0,0,1
1911,18,,5.2,5, ,0,0,0,1,0,0,1
1911,11,,5.7,21, ,0,0,1,0,0,0,1
1911,19,,5.7,26, ,1,0,0,1,0,0,1
1911,18,,5.1,5, ,0,0,0,1,0,0,1
1911,11,,5.7,21, ,0,0,0,1,0,0,1
1911,17,,6.3,14, ,0,0,0,1,0,0,1
1911,17,,6.5,13, ,0,0,0,1,0,0,1
1911,14,,6,29, ,0,0,1,0,0,0,1
1911,18,,3.3,14, ,0,0,0,0,0,1,1
1911,14,,5,45, ,0,0,0,1,0,0,1
1911,17,,5.1,25, ,0,0,0,1,0,0,1
1911,71,,3.9,16, ,0,0,0,0,0,0,0
1911,18,,6,11, ,0,0,0,0,0,0,1
1911,3,,8,72, ,0,1,0,0,0,0,1
1911,17,,6.9,101, ,0,0,0,1,0,0,1
1911,18,,6.1,9, ,0,0,0,1,0,0,1
1911,12,,3.8,6, ,0,0,0,1,0,0,1
1911,23,,7.4,15, ,0,0,0,1,0,0,1
1911,24,,5.8,9, ,0,0,0,0,0,0,1
1911,17,,6.6,14, ,0,0,0,1,0,0,1
1911,17,,7.3,25, ,0,0,0,1,0,0,1
1911,7,,8,53, ,0,0,0,0,1,0,1
1912,17,,6.1,16, ,0,0,0,1,0,0,1
1912,15,,5.3,25, ,0,0,0,1,0,0,1
1912,13,,5.3,13, ,0,0,0,1,0,0,1
1912,88,,5.2,82, ,0,0,0,1,0,0,0
1912,16,,6.5,47, ,0,0,0,1,0,0,1
1912,13,,6.9,21, ,0,0,1,0,0,0,1
1912,12,,6.2,8, ,0,0,1,0,0,0,1
1912,12,,4.8,19, ,0,0,0,0,0,0,1
1912,12,,6.4,10, ,0,0,0,1,0,0,1
1912,17,,6.9,28, ,0,0,0,1,0,0,1
1912,17,,5,13, ,0,0,0,0,0,1,1
1912,71,,6.2,48, ,0,0,0,1,0,0,0
1912,17,,7.6,125, ,0,0,0,1,0,0,1
1912,18,,5.8,8, ,0,0,0,1,0,0,1
1912,41,,5.4,20, ,0,0,0,0,0,0,1
1912,14,,7.9,38, ,0,0,0,1,0,0,1
1912,17,,6.1,8, ,0,0,0,1,0,0,1
1912,16,,5.5,25, ,0,0,1,0,0,0,1
1912,17,,6.7,5, ,0,0,0,1,0,0,1
1912,16,,5.6,12, ,0,0,0,0,0,1,1
1912,12,,8.4,76, ,0,1,0,0,0,0,1
1912,17,,7,102, ,0,0,0,1,0,0,1
1912,17,,6.8,24, ,0,0,0,1,0,0,1
1912,16,,7.2,55, ,0,0,0,1,0,0,1
1912,15,,6.4,27, ,0,0,0,1,0,0,1
1912,12,,6,35, ,0,0,0,1,0,0,1
1912,15,,5,7, ,0,0,1,0,0,0,1
1912,13,,5.6,6, ,0,0,0,0,0,1,1
1912,120,,8.4,9, ,0,0,0,1,0,0,0
1912,55,30000,6.9,24, ,0,0,0,1,0,0,0
1912,34,,6,13, ,0,0,0,1,0,1,1
1912,10,,7.9,23, ,0,0,0,0,0,0,1
1912,17,,7.4,31, ,0,0,0,1,0,1,1
1912,17,,7.2,55, ,0,0,0,0,0,0,1
1913,121,,6.4,15, ,0,0,0,1,0,0,0
1913,8,,5.7,99, ,0,0,1,0,0,0,1
1913,13,,6.7,29, ,0,0,1,0,0,0,1
1913,29,,7.1,59, ,1,0,0,0,0,0,1
1913,17,,6.2,28, ,0,0,0,1,0,0,1
1913,30,,7,8, ,0,0,1,0,0,0,1
1913,15,,5.8,6, ,0,0,0,0,0,0,1
1913,13,,5.9,30, ,0,0,1,0,0,0,1
1913,17,,5.8,20, ,0,0,0,1,0,0,1
1913,6,,5.3,25, ,0,0,1,0,0,0,1
1913,74,,6,36, ,0,0,0,1,0,0,0
1913,10,,7.6,6, ,0,0,1,0,0,0,1
1913,17,,6.3,5, ,0,0,0,0,0,0,1
1913,78,,5.8,5, ,0,0,0,0,1,0,0
1913,90,,8.4,7, ,0,0,0,1,0,0,0
1913,14,,6,21, ,0,0,1,0,0,0,1
1913,20,,7,16, ,0,0,0,0,0,0,0
1913,14,,6.3,19, ,0,0,1,0,0,0,1
1913,90,,8.1,32, ,0,0,0,1,0,0,0
1913,23,1800,7.1,35, ,0,0,0,1,0,0,1
1913,11,,4.8,16, ,0,0,1,0,0,0,1
1913,8,,8.7,11, ,0,0,0,0,0,0,1
1913,41,,8.6,18, ,0,0,1,0,0,0,1
1913,7,,7.2,15, ,0,1,0,0,0,0,1
1913,39,,6,19, ,0,0,0,1,0,0,1
1913,8,,4.7,12, ,1,0,1,0,0,0,1
1913,5,,8.2,10, ,0,1,0,0,0,0,1
1913,85,,7.2,77, ,0,0,0,1,0,0,0
1913,48,,7.2,20, ,0,0,0,1,0,0,0
1913,10,,8.1,6, ,0,0,0,1,0,0,1
1913,88,5700,6.2,44, ,0,0,0,1,0,0,0
1913,88,,5.9,66, ,0,0,0,1,0,0,0
1914,14,,6.1,25, ,0,0,0,1,0,0,1
1914,78,,6.4,30, ,0,0,0,1,0,0,0
1914,15,,5.7,62, ,0,0,1,0,0,0,1
1914,33,,5.9,5, ,0,0,0,1,0,0,1
1914,6,,5.5,36, ,0,0,1,0,0,0,1
1914,162,210000,7.6,216, ,0,0,0,1,0,0,0
1914,33,,5.5,79, ,0,0,1,0,0,0,1
1914,16,,6,23, ,0,0,1,0,0,0,1
1914,16,,5.5,63, ,0,0,1,0,0,0,1
1914,37,,7,18, ,0,0,0,1,0,0,1
1914,33,,6.7,24, ,0,0,1,0,0,0,1
1914,14,,5.5,33, ,0,0,1,0,0,0,1
1914,18,,5.7,26, ,0,0,1,0,0,0,1
1914,12,,5.6,16, ,0,0,1,0,0,0,1
1914,70,,8,30, ,0,0,0,0,0,0,0
1914,15,,5.9,74, ,0,0,1,0,0,0,1
1914,63,,6.4,35, ,0,0,1,0,0,0,0
1914,16,,6.3,24, ,0,0,1,0,0,0,1
1914,16,,6.3,35, ,0,0,1,0,0,0,1
1914,12,,6.1,5, ,1,0,0,0,0,0,1
1914,84,,8.2,20, ,0,0,0,1,0,0,0
1914,16,,5.3,39, ,0,0,1,0,0,0,1
1914,16,,5.9,26, ,0,0,1,0,0,0,1
1914,16,,6.1,47, ,0,0,1,0,0,0,1
1914,10,,5.3,33, ,0,0,1,0,0,0,1
1914,32,,6.5,31, ,0,0,1,0,0,0,1
1914,55,,5.7,17, ,0,0,0,1,0,0,0
1914,47,,6,23, ,0,0,0,1,1,0,0
1914,50,,1,9, ,0,0,0,1,0,0,0
1914,61,36000,6.9,47, ,0,0,0,1,0,0,0
1914,11,,6.1,110, ,0,0,1,0,0,0,1
1914,27,,6,60, ,0,0,1,0,0,0,1
1914,16,,6.2,50, ,0,0,1,0,0,0,1
1914,18,,4.7,25, ,0,0,1,0,0,0,1
1914,16,,5.3,71, ,0,0,1,0,0,0,1
1914,17,,5.7,51, ,0,0,1,0,0,0,1
1914,17,,5.6,34, ,0,0,1,0,0,0,1
1914,15,,5.6,94, ,0,0,1,0,0,0,1
1914,16,,5.8,61, ,0,0,1,0,0,0,1
1914,16,,6,22, ,0,0,1,0,0,0,1
1914,81,,6,34, ,0,0,1,0,0,0,0
1914,480,,8.1,7, ,0,0,0,0,0,0,0
1914,31,,5.9,21, ,0,0,1,0,0,0,1
1914,7,,4.9,18, ,0,0,1,0,0,0,1
1914,16,,6.2,96, ,0,0,1,0,0,0,1
1914,72,15450,6.3,41, ,0,0,0,1,0,0,0
1914,12,,5.9,60, ,0,0,1,0,0,0,1
1914,16,,5.3,52, ,0,0,1,0,0,0,1
1914,82,50000,6.3,247, ,0,0,1,0,0,0,0
1914,14,,8.6,57, ,0,1,1,0,0,0,1
1914,10,,6,30, ,0,0,1,0,0,0,1
1914,54,,8,5, ,0,0,0,1,0,0,0
1914,50,,5.8,14, ,0,0,0,0,0,0,0
1914,54,,7.9,17, ,0,0,1,1,0,0,0
1915,50,,7.1,45, ,0,0,0,1,0,0,0
1915,52,,6.4,20, ,0,0,0,0,0,0,0
1915,11,,6,8, ,0,0,1,0,0,0,1
1915,20,,6.5,5, ,0,0,1,0,0,0,1
1915,50,,5.5,23, ,0,0,0,1,0,0,0
1915,33,,6.6,162, ,0,0,1,0,0,0,1
1915,125,110000,7.1,2617, ,0,0,0,1,0,0,0
1915,37,,6.7,77, ,0,0,0,0,0,0,1
1915,16,,6.1,119, ,0,0,1,0,0,0,1
1915,33,,7.1,175, ,0,0,1,0,0,0,1
1915,59,17311,7.2,188, ,0,0,0,1,0,0,0
1915,4,,3.3,9, ,0,0,0,0,1,0,1
1915,5,,5.8,29, ,0,1,1,0,0,0,1
1915,50,8000,7.6,7, ,0,0,0,0,0,0,0
1915,60,,6.1,5, ,0,0,0,0,0,0,0
1915,20,,6.6,21, ,0,0,1,0,0,0,1
1915,6,,5.6,20, ,0,0,0,0,0,0,1
1915,67,,5.8,81, ,0,0,0,1,0,0,0
1915,16,,7,19, ,0,0,1,0,0,0,1
1915,10,,4.9,13, ,0,0,0,0,0,0,1
1915,7,,4.9,5, ,0,0,0,0,0,0,1
1915,60,,7.5,176, ,0,0,0,0,0,0,0
1915,37,,8.8,13, ,0,0,0,1,0,0,1
1915,32,,6.5,128, ,0,0,1,0,0,0,1
1915,15,,5.5,61, ,0,0,0,0,0,0,1
1915,49,,6,39, ,0,0,0,1,0,0,0
1915,60,,8,9, ,0,0,0,0,0,0,0
1915,15,,6.3,96, ,0,0,1,0,0,0,1
1915,78,,6.5,34, ,0,0,0,1,0,0,0
1915,33,,6,102, ,0,0,1,0,0,0,1
1915,3,,5.8,5, ,0,1,0,0,0,0,1
1915,14,,8.2,13, ,0,1,0,1,0,0,1
1915,11,,6.6,7, ,0,0,1,0,0,0,1
1915,13,,5.1,15, ,1,0,1,0,0,0,1
1915,11,,4.8,8, ,0,0,1,0,0,0,1
1915,11,,6.4,5, ,0,0,0,0,0,0,0
1915,11,,5.1,23, ,0,0,1,0,0,0,1
1915,41,,4.9,36, ,0,0,0,0,0,0,1
1915,50,,5,6, ,0,0,0,1,0,0,0
1915,11,,5.4,16, ,0,0,1,0,0,0,1
1915,50,,7.9,109, ,0,0,0,1,0,0,0
1915,29,,6.9,120, ,0,0,1,0,0,0,1
1915,14,,4.4,8, ,0,0,1,0,0,0,1
1915,15,,6.1,144, ,0,0,1,0,0,0,1
1915,57,,6.2,6, ,0,0,0,1,0,0,0
1915,72,,7.2,104, ,0,0,0,1,0,0,0
1915,16,,5.1,30, ,0,0,0,1,0,0,1
1915,30,,6.3,118, ,0,0,0,0,0,0,1
1915,32,,7.2,285, ,0,0,1,0,0,0,1
1915,59,,6.8,9, ,0,0,0,1,0,0,0
1915,399,,8.1,177, ,1,0,0,1,0,0,0
